
Aaron Rodgers;GNB;343 ;502 ;4643 ;45 ;6 
Drew Brees;NOR;468 ;657 ;5476 ;46 ;14 
Tom Brady;NWE;401 ;611 ;5235 ;39 ;12 
Tony Romo;DAL;346 ;522 ;4184 ;31 ;10 
Matthew Stafford;DET;421 ;663 ;5038 ;41 ;16 
Matt Schaub;HOU;178 ;292 ;2479 ;15 ;6 
Eli Manning;NYG;359 ;589 ;4933 ;29 ;16 
Matt Ryan;ATL;347 ;566 ;4177 ;29 ;12 
Alex Smith;SFO;273 ;445 ;3144 ;17 ;5 
Ben Roethlisberger;PIT;324 ;513 ;4077 ;21 ;14 
Philip Rivers;SDG;366 ;582 ;4624 ;27 ;20 
Matt Moore;MIA;210 ;347 ;2497 ;16 ;9 
Jay Cutler;CHI;182 ;314 ;2319 ;13 ;7 
Mike Vick;PHI;253 ;423 ;3303 ;18 ;14 
Cam Newton;CAR;310 ;517 ;4051 ;21 ;17 
Matt Hasselbeck;TEN;319 ;518 ;3571 ;18 ;14 
Kevin Kolb;ARI;146 ;253 ;1955 ;9 ;8 
Joe Flacco;BAL;312 ;542 ;3610 ;20 ;12 
Carson Palmer;OAK;199 ;328 ;2753 ;13 ;16 
Andy Dalton;CIN;300 ;516 ;3398 ;20 ;13 
Tarvaris Jackson;SEA;271 ;450 ;3091 ;14 ;13 
Ryan Fitzpatrick;BUF;353 ;569 ;3832 ;24 ;23 
Mark Sanchez;NYJ;308 ;543 ;3474 ;26 ;18 
Kyle Orton;KAN;150 ;252 ;1758 ;9 ;9 
Matt Cassel;KAN;160 ;269 ;1713 ;10 ;9 
Josh Freeman;TAM;346 ;551 ;3592 ;16 ;22 
Colt McCoy;CLE;265 ;463 ;2733 ;14 ;11 
Tim Tebow;DEN;126 ;271 ;1729 ;12 ;6 
Rex Grossman;WAS;265 ;458 ;3151 ;16 ;20 
Sam Bradford;LAR;191 ;357 ;2164 ;6 ;6 
Christian Ponder;MIN;158 ;291 ;1853 ;13 ;13 
John Skelton;ARI;151 ;275 ;1913 ;11 ;14 
Curtis Painter;IND;132 ;243 ;1541 ;6 ;9 
Blaine Gabbert;JAC;210 ;413 ;2214 ;12 ;11 
