
Kurt Warner;LAR;375 ;546 ;4830 ;36 ;22 
Rich Gannon;OAK;361 ;549 ;3828 ;27 ;9 
Jeff Garcia;SFO;316 ;504 ;3538 ;32 ;12 
Brett Favre;GNB;314 ;510 ;3921 ;32 ;15 
Steve McNair;TEN;264 ;431 ;3350 ;21 ;12 
Tom Brady;NWE;264 ;413 ;2843 ;18 ;12 
Donovan McNabb;PHI;285 ;493 ;3233 ;25 ;12 
Peyton Manning;IND;343 ;547 ;4131 ;26 ;23 
Chris Chandler;ATL;223 ;365 ;2847 ;16 ;14 
Mark Brunell;JAC;289 ;473 ;3309 ;19 ;13 
Daunte Culpepper;MIN;235 ;366 ;2612 ;14 ;13 
Kordell Stewart;PIT;266 ;442 ;3109 ;14 ;11 
Jay Fiedler;MIA;273 ;450 ;3290 ;20 ;19 
Jake Plummer;ARI;304 ;525 ;3653 ;18 ;14 
Brian Griese;DEN;275 ;451 ;2827 ;23 ;19 
Brad Johnson;TAM;340 ;559 ;3406 ;13 ;11 
Kerry Collins;NYG;327 ;568 ;3764 ;19 ;16 
Charlie Batch;DET;198 ;341 ;2392 ;12 ;12 
Aaron Brooks;NOR;312 ;558 ;3832 ;26 ;22 
Alex Van Pelt;BUF;178 ;307 ;2056 ;12 ;11 
Vinny Testaverde;NYJ;260 ;441 ;2752 ;15 ;14 
Jim Miller;CHI;228 ;395 ;2299 ;13 ;10 
Tim Couch;CLE;272 ;454 ;3040 ;17 ;21 
Doug Flutie;SDG;294 ;521 ;3464 ;15 ;18 
Tony Banks;WAS;198 ;370 ;2386 ;10 ;10 
Elvis Grbac;BAL;265 ;467 ;3033 ;15 ;18 
Trent Green;KAN;296 ;523 ;3783 ;17 ;24 
Matt Hasselbeck;SEA;176 ;321 ;2023 ;7 ;8 
Chris Weinke;CAR;293 ;540 ;2931 ;11 ;19 
Jon Kitna;CIN;313 ;581 ;3216 ;12 ;22 
