
Tom Brady;NWE;324 ;492 ;3900 ;36 ;4 
Philip Rivers;SDG;357 ;541 ;4710 ;30 ;13 
Aaron Rodgers;GNB;312 ;475 ;3922 ;28 ;11 
Mike Vick;PHI;233 ;372 ;3018 ;21 ;6 
Ben Roethlisberger;PIT;240 ;389 ;3200 ;17 ;5 
Josh Freeman;TAM;291 ;474 ;3451 ;25 ;6 
Joe Flacco;BAL;306 ;489 ;3622 ;25 ;10 
Matt Cassel;KAN;262 ;450 ;3116 ;27 ;7 
Matt Schaub;HOU;365 ;574 ;4370 ;24 ;12 
Peyton Manning;IND;450 ;679 ;4700 ;33 ;17 
Matt Ryan;ATL;357 ;571 ;3705 ;28 ;9 
Drew Brees;NOR;448 ;658 ;4620 ;33 ;22 
David Garrard;JAC;236 ;366 ;2734 ;23 ;15 
Jon Kitna;DAL;209 ;318 ;2365 ;16 ;12 
Kyle Orton;DEN;293 ;498 ;3653 ;20 ;9 
Jay Cutler;CHI;261 ;432 ;3274 ;23 ;16 
Eli Manning;NYG;339 ;539 ;4002 ;31 ;25 
Jason Campbell;OAK;194 ;329 ;2387 ;13 ;8 
Carson Palmer;CIN;362 ;586 ;3970 ;26 ;20 
Kerry Collins;TEN;160 ;278 ;1823 ;14 ;8 
Alex Smith;SFO;204 ;342 ;2370 ;14 ;10 
Ryan Fitzpatrick;BUF;255 ;441 ;3000 ;23 ;15 
Shaun Hill;DET;257 ;416 ;2686 ;16 ;12 
Donovan McNabb;WAS;275 ;472 ;3377 ;14 ;15 
Sam Bradford;LAR;354 ;590 ;3512 ;18 ;15 
Chad Henne;MIA;301 ;490 ;3301 ;15 ;19 
Mark Sanchez;NYJ;278 ;507 ;3291 ;17 ;13 
Matt Hasselbeck;SEA;266 ;444 ;3001 ;12 ;17 
Brett Favre;MIN;217 ;358 ;2509 ;11 ;19 
Derek Anderson;ARI;169 ;327 ;2065 ;7 ;10 
Jimmy Clausen;CAR;157 ;299 ;1558 ;3 ;9 
