
Peyton Manning;IND;362 ;557 ;4397 ;31 ;9 
Damon Huard;KAN;148 ;244 ;1878 ;11 ;1 
Drew Brees;NOR;356 ;554 ;4418 ;26 ;11 
Donovan McNabb;PHI;180 ;316 ;2647 ;18 ;6 
Tony Romo;DAL;220 ;337 ;2903 ;19 ;13 
Carson Palmer;CIN;324 ;520 ;4035 ;28 ;13 
Marc Bulger;LAR;370 ;588 ;4301 ;24 ;8 
Philip Rivers;SDG;284 ;460 ;3388 ;22 ;9 
Tom Brady;NWE;319 ;516 ;3529 ;24 ;12 
Mark Brunell;WAS;162 ;260 ;1789 ;8 ;4 
J.P. Losman;BUF;268 ;429 ;3051 ;19 ;14 
Chad Pennington;NYJ;313 ;485 ;3352 ;17 ;16 
Jake Delhomme;CAR;263 ;431 ;2805 ;17 ;11 
Steve McNair;BAL;295 ;468 ;3050 ;16 ;12 
David Carr;HOU;302 ;442 ;2767 ;11 ;12 
David Garrard;JAC;145 ;241 ;1735 ;10 ;9 
Jon Kitna;DET;372 ;596 ;4208 ;21 ;22 
Eli Manning;NYG;301 ;522 ;3244 ;24 ;18 
Matt Hasselbeck;SEA;210 ;371 ;2442 ;18 ;15 
Mike Vick;ATL;204 ;388 ;2474 ;20 ;13 
Ben Roethlisberger;PIT;280 ;469 ;3513 ;18 ;23 
Alex Smith;SFO;257 ;442 ;2890 ;16 ;16 
Matt Leinart;ARI;214 ;377 ;2547 ;11 ;12 
Rex Grossman;CHI;262 ;480 ;3193 ;23 ;20 
Brett Favre;GNB;343 ;613 ;3885 ;18 ;18 
Charlie Frye;CLE;252 ;392 ;2454 ;10 ;17 
Brad Johnson;MIN;270 ;439 ;2750 ;9 ;15 
Jake Plummer;DEN;175 ;317 ;1994 ;11 ;13 
Joey Harrington;MIA;223 ;388 ;2236 ;12 ;15 
Vince Young;TEN;184 ;357 ;2199 ;12 ;13 
Bruce Gradkowski;TAM;177 ;328 ;1661 ;9 ;9 
Andrew Walter;OAK;147 ;276 ;1677 ;3 ;13 
