
Peyton Manning;IND;305 ;453 ;3747 ;28 ;10 
Carson Palmer;CIN;345 ;509 ;3836 ;32 ;12 
Ben Roethlisberger;PIT;168 ;268 ;2385 ;17 ;9 
Matt Hasselbeck;SEA;294 ;449 ;3459 ;24 ;9 
Marc Bulger;LAR;192 ;287 ;2297 ;14 ;9 
Tom Brady;NWE;334 ;530 ;4110 ;26 ;14 
Jake Plummer;DEN;277 ;456 ;3366 ;18 ;7 
Trent Green;KAN;317 ;507 ;4014 ;17 ;10 
Byron Leftwich;JAC;175 ;302 ;2123 ;15 ;5 
Drew Brees;SDG;323 ;500 ;3576 ;24 ;15 
Brad Johnson;MIN;184 ;294 ;1885 ;12 ;4 
Jake Delhomme;CAR;262 ;435 ;3421 ;24 ;16 
Mark Brunell;WAS;262 ;454 ;3050 ;23 ;10 
Kurt Warner;ARI;242 ;375 ;2713 ;11 ;9 
Kelly Holcomb;BUF;155 ;230 ;1509 ;10 ;8 
Donovan McNabb;PHI;211 ;357 ;2507 ;16 ;9 
Drew Bledsoe;DAL;300 ;499 ;3639 ;23 ;17 
Steve McNair;TEN;292 ;476 ;3161 ;16 ;11 
Chris Simms;TAM;191 ;313 ;2035 ;10 ;7 
Kerry Collins;OAK;302 ;565 ;3759 ;20 ;12 
David Carr;HOU;256 ;423 ;2488 ;14 ;11 
Trent Dilfer;CLE;199 ;333 ;2321 ;11 ;12 
Eli Manning;NYG;294 ;557 ;3762 ;24 ;17 
Josh McCown;ARI;163 ;270 ;1836 ;9 ;11 
Mike Vick;ATL;214 ;387 ;2412 ;15 ;13 
Brooks Bollinger;NYJ;150 ;266 ;1558 ;7 ;6 
Joey Harrington;DET;188 ;330 ;2021 ;12 ;12 
Gus Frerotte;MIA;257 ;494 ;2996 ;18 ;13 
Kyle Boller;BAL;171 ;293 ;1799 ;11 ;12 
Anthony Wright;BAL;164 ;266 ;1582 ;6 ;9 
Brett Favre;GNB;372 ;607 ;3881 ;20 ;29 
Aaron Brooks;NOR;240 ;431 ;2882 ;13 ;17 
J.P. Losman;BUF;113 ;228 ;1340 ;8 ;8 
Kyle Orton;CHI;190 ;368 ;1869 ;9 ;13 
