
Drew Brees;NOR;363 ;514 ;4388 ;34 ;11 
Brett Favre;MIN;363 ;531 ;4202 ;33 ;7 
Philip Rivers;SDG;317 ;486 ;4254 ;28 ;9 
Aaron Rodgers;GNB;350 ;541 ;4434 ;30 ;7 
Ben Roethlisberger;PIT;337 ;506 ;4328 ;26 ;12 
Peyton Manning;IND;393 ;571 ;4500 ;33 ;16 
Matt Schaub;HOU;396 ;583 ;4770 ;29 ;15 
Tony Romo;DAL;347 ;550 ;4483 ;26 ;9 
Tom Brady;NWE;371 ;565 ;4398 ;28 ;13 
Kurt Warner;ARI;339 ;513 ;3753 ;26 ;14 
Eli Manning;NYG;317 ;509 ;4021 ;27 ;14 
Donovan McNabb;PHI;267 ;443 ;3553 ;22 ;10 
Joe Flacco;BAL;315 ;499 ;3613 ;21 ;12 
Kyle Orton;DEN;336 ;541 ;3802 ;21 ;12 
Jason Campbell;WAS;327 ;507 ;3618 ;20 ;15 
Carson Palmer;CIN;282 ;466 ;3094 ;21 ;13 
David Garrard;JAC;314 ;516 ;3597 ;15 ;10 
Vince Young;TEN;152 ;259 ;1879 ;10 ;7 
Alex Smith;SFO;225 ;372 ;2350 ;18 ;12 
Matt Ryan;ATL;263 ;451 ;2916 ;22 ;14 
Jay Cutler;CHI;336 ;555 ;3666 ;27 ;26 
Chad Henne;MIA;274 ;451 ;2878 ;12 ;14 
Matt Hasselbeck;SEA;293 ;488 ;3029 ;17 ;17 
Marc Bulger;LAR;140 ;247 ;1469 ;5 ;6 
Matt Cassel;KAN;271 ;493 ;2924 ;16 ;16 
Ryan Fitzpatrick;BUF;127 ;227 ;1422 ;9 ;10 
Brady Quinn;CLE;136 ;256 ;1339 ;8 ;7 
Mark Sanchez;NYJ;196 ;364 ;2444 ;12 ;20 
Matthew Stafford;DET;201 ;377 ;2267 ;13 ;20 
Josh Freeman;TAM;159 ;291 ;1857 ;10 ;18 
Jake Delhomme;CAR;178 ;321 ;2015 ;8 ;18 
JaMarcus Russell;OAK;120 ;246 ;1287 ;3 ;11 
