
Russell Wilson;SEA;329 ;483 ;4024 ;34 ;8 
Andy Dalton;CIN;255 ;386 ;3250 ;25 ;7 
Carson Palmer;ARI;342 ;537 ;4671 ;35 ;11 
Tom Brady;NWE;402 ;624 ;4770 ;36 ;7 
Kirk Cousins;WAS;379 ;543 ;4166 ;29 ;11 
Drew Brees;NOR;428 ;627 ;4870 ;32 ;11 
Tyrod Taylor;BUF;242 ;380 ;3035 ;20 ;6 
Cam Newton;CAR;296 ;495 ;3837 ;35 ;10 
Matthew Stafford;DET;398 ;592 ;4262 ;32 ;13 
Alex Smith;KAN;307 ;470 ;3486 ;20 ;7 
Ben Roethlisberger;PIT;319 ;469 ;3938 ;21 ;16 
Philip Rivers;SDG;437 ;661 ;4792 ;29 ;13 
Eli Manning;NYG;387 ;618 ;4436 ;35 ;14 
Josh McCown;CLE;186 ;292 ;2109 ;12 ;4 
Aaron Rodgers;GNB;347 ;572 ;3821 ;31 ;8 
Jay Cutler;CHI;311 ;483 ;3659 ;21 ;11 
Marcus Mariota;TEN;230 ;370 ;2818 ;19 ;10 
Brian Hoyer;HOU;224 ;369 ;2606 ;19 ;7 
Derek Carr;OAK;350 ;573 ;3987 ;32 ;13 
Matt Ryan;ATL;407 ;614 ;4591 ;21 ;16 
Teddy Bridgewater;MIN;292 ;447 ;3231 ;14 ;9 
Ryan Tannehill;MIA;363 ;586 ;4208 ;24 ;12 
Blake Bortles;JAC;355 ;606 ;4428 ;35 ;18 
Ryan Fitzpatrick;NYJ;335 ;562 ;3905 ;31 ;15 
Brock Osweiler;DEN;170 ;275 ;1967 ;10 ;6 
Sam Bradford;PHI;346 ;532 ;3725 ;19 ;14 
Blaine Gabbert;SFO;178 ;282 ;2031 ;10 ;7 
Jameis Winston;TAM;312 ;535 ;4042 ;22 ;15 
Matt Hasselbeck;IND;156 ;256 ;1690 ;9 ;5 
Joe Flacco;BAL;266 ;413 ;2791 ;14 ;12 
Colin Kaepernick;SFO;144 ;244 ;1615 ;6 ;5 
Andrew Luck;IND;162 ;293 ;1881 ;15 ;12 
Nick Foles;LAR;190 ;337 ;2052 ;7 ;10 
Peyton Manning;DEN;198 ;331 ;2249 ;9 ;17 
Ryan Mallett;BAL;136 ;244 ;1336 ;5 ;6 
