
Steve McNair;TEN;250 ;400 ;3215 ;24 ;7 
Peyton Manning;IND;379 ;566 ;4267 ;29 ;10 
Daunte Culpepper;MIN;295 ;454 ;3479 ;25 ;11 
Trent Green;KAN;330 ;523 ;4039 ;24 ;12 
Jake Plummer;DEN;189 ;302 ;2182 ;15 ;7 
Brett Favre;GNB;308 ;471 ;3361 ;32 ;21 
Aaron Brooks;NOR;306 ;518 ;3546 ;24 ;8 
Matt Hasselbeck;SEA;313 ;513 ;3841 ;26 ;15 
Jon Kitna;CIN;324 ;520 ;3591 ;26 ;15 
Tom Brady;NWE;317 ;527 ;3620 ;23 ;12 
Chad Pennington;NYJ;189 ;297 ;2139 ;13 ;12 
Brad Johnson;TAM;354 ;570 ;3811 ;26 ;21 
Marc Bulger;LAR;336 ;532 ;3845 ;22 ;22 
Jake Delhomme;CAR;266 ;449 ;3219 ;19 ;16 
Jeff Garcia;SFO;225 ;392 ;2704 ;18 ;13 
Donovan McNabb;PHI;275 ;478 ;3216 ;16 ;11 
Patrick Ramsey;WAS;179 ;337 ;2166 ;14 ;9 
Tommy Maddox;PIT;298 ;519 ;3414 ;18 ;17 
Kelly Holcomb;CLE;193 ;302 ;1797 ;10 ;12 
Rich Gannon;OAK;125 ;225 ;1274 ;6 ;4 
Drew Bledsoe;BUF;274 ;471 ;2860 ;11 ;12 
Byron Leftwich;JAC;239 ;418 ;2819 ;14 ;16 
Jay Fiedler;MIA;179 ;314 ;2138 ;11 ;13 
Quincy Carter;DAL;292 ;505 ;3302 ;17 ;21 
Kerry Collins;NYG;284 ;500 ;3110 ;13 ;16 
Jeff Blake;ARI;208 ;367 ;2247 ;13 ;15 
David Carr;HOU;167 ;295 ;2013 ;9 ;13 
Doug Johnson;ATL;136 ;243 ;1655 ;8 ;12 
Drew Brees;SDG;205 ;356 ;2108 ;11 ;15 
Joey Harrington;DET;309 ;554 ;2880 ;17 ;22 
Kyle Boller;BAL;116 ;224 ;1260 ;7 ;9 
Kordell Stewart;CHI;126 ;251 ;1418 ;7 ;12 
