
Brian Griese;DEN;216 ;336 ;2688 ;19 ;4 
Trent Green;LAR;145 ;240 ;2063 ;16 ;5 
Kurt Warner;LAR;235 ;347 ;3429 ;21 ;18 
Daunte Culpepper;MIN;297 ;474 ;3937 ;33 ;16 
Jeff Garcia;SFO;355 ;561 ;4278 ;31 ;10 
Peyton Manning;IND;357 ;571 ;4413 ;33 ;15 
Rich Gannon;OAK;284 ;473 ;3430 ;28 ;11 
Elvis Grbac;KAN;326 ;547 ;4169 ;28 ;14 
Doug Flutie;BUF;132 ;231 ;1700 ;8 ;3 
Mark Brunell;JAC;311 ;512 ;3640 ;20 ;14 
Steve McNair;TEN;248 ;396 ;2847 ;15 ;13 
Kerry Collins;NYG;311 ;529 ;3610 ;22 ;13 
Jeff Blake;NOR;184 ;302 ;2025 ;13 ;9 
Rob Johnson;BUF;175 ;306 ;2125 ;12 ;7 
Gus Frerotte;DEN;138 ;232 ;1776 ;9 ;8 
Steve Beuerlein;CAR;324 ;533 ;3730 ;19 ;18 
Brett Favre;GNB;338 ;580 ;3812 ;20 ;16 
Donovan McNabb;PHI;330 ;569 ;3365 ;21 ;13 
Drew Bledsoe;NWE;312 ;531 ;3291 ;17 ;13 
Trent Dilfer;BAL;134 ;226 ;1502 ;12 ;11 
Shaun King;TAM;233 ;428 ;2769 ;18 ;13 
Brad Johnson;WAS;228 ;365 ;2505 ;11 ;15 
Jon Kitna;SEA;259 ;418 ;2658 ;18 ;19 
Jay Fiedler;MIA;204 ;357 ;2402 ;14 ;14 
Kordell Stewart;PIT;151 ;289 ;1860 ;11 ;8 
Chris Chandler;ATL;192 ;331 ;2236 ;10 ;12 
Tony Banks;BAL;150 ;274 ;1578 ;8 ;8 
Vinny Testaverde;NYJ;328 ;590 ;3732 ;21 ;25 
Cade McNown;CHI;154 ;280 ;1646 ;8 ;9 
Charlie Batch;DET;221 ;412 ;2489 ;13 ;15 
Jake Plummer;ARI;270 ;475 ;2946 ;13 ;21 
Troy Aikman;DAL;156 ;262 ;1632 ;7 ;14 
Ryan Leaf;SDG;161 ;322 ;1883 ;11 ;18 
Akili Smith;CIN;118 ;267 ;1253 ;3 ;6 
