
Aaron Rodgers;GNB;371 ;552 ;4295 ;39 ;8 
Peyton Manning;DEN;400 ;583 ;4659 ;37 ;11 
Robert Griffin III;WAS;258 ;393 ;3200 ;20 ;5 
Russell Wilson;SEA;252 ;393 ;3118 ;26 ;10 
Matt Ryan;ATL;422 ;615 ;4719 ;32 ;14 
Tom Brady;NWE;401 ;637 ;4827 ;34 ;8 
Ben Roethlisberger;PIT;284 ;449 ;3265 ;26 ;8 
Drew Brees;NOR;422 ;670 ;5177 ;43 ;19 
Matt Schaub;HOU;350 ;544 ;4008 ;22 ;12 
Tony Romo;DAL;425 ;648 ;4903 ;28 ;19 
Philip Rivers;SDG;338 ;527 ;3606 ;26 ;15 
Joe Flacco;BAL;317 ;531 ;3817 ;22 ;10 
Andy Dalton;CIN;329 ;528 ;3669 ;27 ;16 
Eli Manning;NYG;321 ;536 ;3948 ;26 ;15 
Cam Newton;CAR;280 ;485 ;3869 ;19 ;12 
Carson Palmer;OAK;345 ;565 ;4018 ;22 ;14 
Ryan Fitzpatrick;BUF;306 ;505 ;3400 ;24 ;16 
Sam Bradford;LAR;328 ;551 ;3702 ;21 ;13 
Josh Freeman;TAM;306 ;558 ;4065 ;27 ;17 
Jay Cutler;CHI;255 ;434 ;3033 ;19 ;14 
Christian Ponder;MIN;300 ;483 ;2935 ;18 ;12 
Matthew Stafford;DET;435 ;727 ;4967 ;20 ;17 
Nick Foles;PHI;161 ;265 ;1699 ;6 ;5 
Mike Vick;PHI;204 ;351 ;2362 ;12 ;10 
Blaine Gabbert;JAC;162 ;278 ;1662 ;9 ;6 
Andrew Luck;IND;339 ;627 ;4374 ;23 ;18 
Ryan Tannehill;MIA;282 ;484 ;3294 ;12 ;13 
Jake Locker;TEN;177 ;314 ;2176 ;10 ;11 
Brandon Weeden;CLE;297 ;517 ;3385 ;14 ;17 
Chad Henne;JAC;166 ;308 ;2084 ;11 ;11 
Mark Sanchez;NYJ;246 ;453 ;2883 ;13 ;18 
Matt Cassel;KAN;161 ;277 ;1796 ;6 ;12 
