
Tom Brady;NWE;398 ;578 ;4806 ;50 ;8 
Ben Roethlisberger;PIT;264 ;404 ;3154 ;32 ;11 
David Garrard;JAC;208 ;325 ;2509 ;18 ;3 
Peyton Manning;IND;337 ;515 ;4040 ;31 ;14 
Tony Romo;DAL;335 ;520 ;4211 ;36 ;19 
Brett Favre;GNB;356 ;535 ;4155 ;28 ;15 
Jeff Garcia;TAM;209 ;327 ;2440 ;13 ;4 
Matt Hasselbeck;SEA;352 ;562 ;3966 ;28 ;12 
Donovan McNabb;PHI;291 ;473 ;3324 ;19 ;7 
Kurt Warner;ARI;281 ;451 ;3417 ;27 ;17 
Drew Brees;NOR;440 ;652 ;4423 ;28 ;18 
Jay Cutler;DEN;297 ;467 ;3497 ;20 ;14 
Matt Schaub;HOU;192 ;289 ;2241 ;9 ;9 
Carson Palmer;CIN;373 ;575 ;4131 ;26 ;20 
Chad Pennington;NYJ;179 ;260 ;1765 ;10 ;9 
Sage Rosenfels;HOU;154 ;240 ;1684 ;15 ;12 
Derek Anderson;CLE;298 ;527 ;3787 ;29 ;19 
Philip Rivers;SDG;277 ;460 ;3152 ;21 ;15 
Jon Kitna;DET;355 ;561 ;4068 ;18 ;20 
Jason Campbell;WAS;250 ;417 ;2700 ;12 ;11 
Joey Harrington;ATL;215 ;348 ;2215 ;7 ;8 
Damon Huard;KAN;206 ;332 ;2257 ;11 ;13 
Brian Griese;CHI;161 ;262 ;1803 ;10 ;12 
Kyle Boller;BAL;168 ;275 ;1743 ;9 ;10 
Eli Manning;NYG;297 ;529 ;3336 ;23 ;20 
Vince Young;TEN;238 ;382 ;2546 ;9 ;17 
Cleo Lemon;MIA;173 ;309 ;1773 ;6 ;6 
Tarvaris Jackson;MIN;171 ;294 ;1911 ;9 ;12 
Trent Edwards;BUF;151 ;269 ;1630 ;7 ;8 
Marc Bulger;LAR;221 ;378 ;2392 ;11 ;15 
Brodie Croyle;KAN;127 ;224 ;1227 ;6 ;6 
Rex Grossman;CHI;122 ;225 ;1411 ;4 ;7 
Kellen Clemens;NYJ;130 ;250 ;1529 ;5 ;10 
