
Philip Rivers;SDG;312 ;478 ;4009 ;34 ;11 
Chad Pennington;MIA;321 ;476 ;3653 ;19 ;7 
Kurt Warner;ARI;401 ;598 ;4583 ;30 ;14 
Drew Brees;NOR;413 ;635 ;5069 ;34 ;17 
Peyton Manning;IND;371 ;555 ;4002 ;27 ;12 
Aaron Rodgers;GNB;341 ;536 ;4038 ;28 ;13 
Matt Schaub;HOU;251 ;380 ;3043 ;15 ;10 
Tony Romo;DAL;276 ;450 ;3448 ;26 ;14 
Jeff Garcia;TAM;244 ;376 ;2712 ;12 ;6 
Matt Cassel;NWE;327 ;516 ;3693 ;21 ;11 
Matt Ryan;ATL;265 ;434 ;3440 ;16 ;11 
Shaun Hill;SFO;181 ;288 ;2046 ;13 ;8 
Seneca Wallace;SEA;141 ;242 ;1532 ;11 ;3 
Eli Manning;NYG;289 ;479 ;3238 ;21 ;10 
Donovan McNabb;PHI;345 ;571 ;3916 ;23 ;11 
Jay Cutler;DEN;384 ;616 ;4526 ;25 ;18 
Trent Edwards;BUF;245 ;374 ;2699 ;11 ;10 
Jake Delhomme;CAR;246 ;414 ;3288 ;15 ;12 
Jason Campbell;WAS;315 ;506 ;3245 ;13 ;6 
David Garrard;JAC;335 ;535 ;3620 ;15 ;13 
Brett Favre;NYJ;343 ;522 ;3472 ;22 ;22 
Joe Flacco;BAL;257 ;428 ;2971 ;14 ;12 
Kerry Collins;TEN;242 ;415 ;2676 ;12 ;7 
Ben Roethlisberger;PIT;281 ;469 ;3301 ;17 ;15 
Kyle Orton;CHI;272 ;465 ;2972 ;18 ;12 
JaMarcus Russell;OAK;198 ;368 ;2423 ;13 ;8 
Tyler Thigpen;KAN;230 ;420 ;2608 ;18 ;12 
Gus Frerotte;MIN;178 ;301 ;2157 ;12 ;15 
Dan Orlovsky;DET;143 ;255 ;1616 ;8 ;8 
Marc Bulger;LAR;251 ;440 ;2720 ;11 ;13 
Ryan Fitzpatrick;CIN;221 ;372 ;1905 ;8 ;9 
Derek Anderson;CLE;142 ;283 ;1615 ;9 ;8 
