
Peyton Manning;IND;336 ;497 ;4557 ;49 ;10 
Daunte Culpepper;MIN;379 ;548 ;4717 ;39 ;11 
Drew Brees;SDG;262 ;400 ;3159 ;27 ;7 
Donovan McNabb;PHI;300 ;469 ;3875 ;31 ;8 
Ben Roethlisberger;PIT;196 ;295 ;2621 ;17 ;11 
Brian Griese;TAM;233 ;336 ;2632 ;20 ;12 
Trent Green;KAN;369 ;556 ;4591 ;27 ;17 
Marc Bulger;LAR;321 ;485 ;3964 ;21 ;14 
Tom Brady;NWE;288 ;474 ;3692 ;28 ;14 
Brett Favre;GNB;346 ;540 ;4088 ;30 ;17 
Chad Pennington;NYJ;242 ;370 ;2673 ;16 ;9 
Jake Delhomme;CAR;310 ;533 ;3886 ;29 ;15 
Billy Volek;TEN;218 ;357 ;2486 ;18 ;10 
Kurt Warner;NYG;174 ;277 ;2054 ;6 ;4 
Jake Plummer;DEN;303 ;521 ;4089 ;27 ;20 
David Carr;HOU;285 ;466 ;3531 ;16 ;14 
Matt Hasselbeck;SEA;279 ;474 ;3382 ;22 ;15 
Byron Leftwich;JAC;267 ;441 ;2941 ;15 ;10 
Aaron Brooks;NOR;309 ;542 ;3810 ;21 ;16 
Tim Rattay;SFO;198 ;325 ;2169 ;10 ;10 
Mike Vick;ATL;181 ;321 ;2313 ;14 ;12 
Joey Harrington;DET;274 ;489 ;3047 ;19 ;12 
Carson Palmer;CIN;263 ;432 ;2897 ;18 ;18 
Jeff Garcia;CLE;144 ;252 ;1731 ;10 ;9 
Drew Bledsoe;BUF;256 ;450 ;2932 ;20 ;16 
Vinny Testaverde;DAL;297 ;495 ;3532 ;17 ;20 
Kerry Collins;OAK;289 ;513 ;3495 ;21 ;20 
Patrick Ramsey;WAS;169 ;272 ;1665 ;10 ;11 
Josh McCown;ARI;233 ;408 ;2511 ;11 ;10 
Kyle Boller;BAL;258 ;464 ;2559 ;13 ;11 
Mark Brunell;WAS;118 ;237 ;1194 ;7 ;6 
Ken Dorsey;SFO;123 ;226 ;1231 ;6 ;9 
A.J. Feeley;MIA;191 ;356 ;1893 ;11 ;15 
