
Tony Romo;DAL;304 ;435 ;3705 ;34 ;9 
Aaron Rodgers;GNB;341 ;520 ;4381 ;38 ;5 
Ben Roethlisberger;PIT;408 ;608 ;4952 ;32 ;9 
Peyton Manning;DEN;395 ;597 ;4727 ;39 ;15 
Tom Brady;NWE;373 ;582 ;4109 ;33 ;9 
Drew Brees;NOR;456 ;659 ;4952 ;33 ;17 
Andrew Luck;IND;380 ;616 ;4761 ;40 ;16 
Carson Palmer;ARI;141 ;224 ;1626 ;11 ;3 
Ryan Fitzpatrick;HOU;197 ;312 ;2483 ;17 ;8 
Russell Wilson;SEA;285 ;452 ;3475 ;20 ;7 
Matt Ryan;ATL;415 ;628 ;4694 ;28 ;14 
Philip Rivers;SDG;379 ;570 ;4286 ;31 ;18 
Alex Smith;KAN;303 ;464 ;3265 ;18 ;6 
Ryan Tannehill;MIA;392 ;590 ;4045 ;27 ;12 
Eli Manning;NYG;379 ;601 ;4410 ;30 ;14 
Joe Flacco;BAL;344 ;554 ;3986 ;27 ;12 
Jay Cutler;CHI;370 ;561 ;3812 ;28 ;18 
Mark Sanchez;PHI;198 ;309 ;2418 ;14 ;11 
Kyle Orton;BUF;287 ;447 ;3018 ;18 ;10 
Colin Kaepernick;SFO;289 ;478 ;3369 ;19 ;10 
Matthew Stafford;DET;363 ;602 ;4257 ;22 ;12 
Teddy Bridgewater;MIN;259 ;402 ;2919 ;14 ;12 
Austin Davis;LAR;180 ;284 ;2001 ;12 ;9 
Shaun Hill;LAR;145 ;229 ;1657 ;8 ;7 
Andy Dalton;CIN;309 ;481 ;3398 ;19 ;17 
Cam Newton;CAR;262 ;448 ;3127 ;18 ;12 
Nick Foles;PHI;186 ;311 ;2163 ;13 ;10 
Drew Stanton;ARI;132 ;240 ;1711 ;7 ;5 
Geno Smith;NYJ;219 ;367 ;2525 ;13 ;13 
Derek Carr;OAK;348 ;599 ;3270 ;21 ;12 
Brian Hoyer;CLE;242 ;438 ;3326 ;12 ;13 
Josh McCown;TAM;184 ;327 ;2206 ;11 ;14 
Blake Bortles;JAC;280 ;475 ;2908 ;11 ;17 
